name,category,price,image_url
Empanada De Pollo X6,almacen,11000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-de-pollo-x6.webp
Empanada Jamon Y Queso X6,almacen,10000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/empanada-jamon-y-queso-x6.webp
Ensalada De Frutas,almacen,3000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/ensalada-de-frutas.webp
Fideos Arcor Spaghetti 500gr,almacen,1800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/fideos-arcor-spaghetti-500gr.webp
Fideos Codito Arcor X500 Gr,almacen,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/fideos-codito-arcor-x500-gr.webp
Fideos Mostachol Arcor X500gr,almacen,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/fideos-mostachol-arcor-x500gr.webp
Fideos Tallarin Arcor X500 Gr,almacen,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/fideos-tallarin-arcor-x500-gr.webp
Fideos Tirabuzon Arcor X500 Gr,almacen,1600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/fideos-tirabuzon-arcor-x500-gr.webp
Garbanzos Arcor X 300 Gr,almacen,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/garbanzos-arcor-x-300-gr.webp
Hielo 1.5kg,almacen,2000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/hielo-15kg.webp
Hielo 15kg,almacen,10000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/hielo-15kg.webp
Hielo 3kg,almacen,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/hielo-3kg.webp
Jugo En Polvo Arcor 3 Frutas 18 X 15gr,almacen,413,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-3-frutas-18-x-15gr.webp
Jugo En Polvo Arcor Anana 18 X 15 Gr,almacen,500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/jugo-en-polvo-arcor-anana-18-x-15-gr.webp
