name,price,category,slug,image_url
Saladix Papa Crema/Cebolla X95g,2000.00,Snacks,saladix-papa-cremacebolla-x95g,
Saladix Picante X 100g,1600.00,Snacks,saladix-picante-x-100g,
Saladix Pizza 100g,1600.00,Snacks,saladix-pizza-100g,
Saladix Snack Cross X67g,1200.00,Snacks,saladix-snack-cross-x67g,
Saladix Snack Original X58g,1500.00,Gin,saladix-snack-original-x58g,
Saladix Snack Original X95g,2000.00,Gin,saladix-snack-original-x95g,
Salentein Blanc De Blanes,14500.00,Sin identificar,salentein-blanc-de-blanes,
Salentein Reserva Cabernet X750,11900.00,Vinos Tintos,salentein-reserva-cabernet-x750,
Salentein Reserva Malbec X750,12200.00,Vinos Tintos,salentein-reserva-malbec-x750,
Salsa Arcor Filetto X340g,1500.00,Sin identificar,salsa-arcor-filetto-x340g,
Salsa Arcor Pizza X340g,1500.00,Sin identificar,salsa-arcor-pizza-x340g,
Salsa Arcor Pomarola X340g,1500.00,Sin identificar,salsa-arcor-pomarola-x340g,
Salsa Arcor Portuguesa X340g,1500.00,Sin identificar,salsa-arcor-portuguesa-x340g,
Salsa Arcor Tuco X340g,1800.00,Sin identificar,salsa-arcor-tuco-x340g,
Salvado Bagley X169g,1600.00,Sin identificar,salvado-bagley-x169g,
Sandwich Milanesa,7000.00,Snacks,sandwich-milanesa,
Sandwich Toma Jamon Cocido,6000.00,Snacks,sandwich-toma-jamon-cocido,
Sandwich Toma Salame,7000.00,Snacks,sandwich-toma-salame,
Santa Julia Chenin Dulce,8000.00,Vinos Blancos,santa-julia-chenin-dulce,
Santa Julia Chenin Dulce 269ml,2400.00,Vinos Blancos,santa-julia-chenin-dulce-269ml,
Santa Julia Dulce,8400.00,Vinos Tintos,santa-julia-dulce,https://cdn.jsdelivr.net/gh/USER/toma-images/images/santa-julia-dulce.jpg
Santa Julia Espumante Dulce 750ml,13800.00,Vinos Espumantes,santa-julia-espumante-dulce-750ml,
Santa Julia Tinto Reserva,8200.00,Vinos Tintos,santa-julia-tinto-reserva,
Saquito Fruta X810g,5664.01,Sin identificar,saquito-fruta-x810g,
Schneider 710ml,2800.00,Cervezas,schneider-710ml,
Schweppes Pomelo Zero 1.5l,3800.00,Gaseosas,schweppes-pomelo-zero-15l,
Schweppes Tonica 1.5l,3200.00,Gaseosas,schweppes-tonica-15l,
Sensei Malbec,9200.00,Vinos Tintos,sensei-malbec,
Sernova Candy Glow,8600.00,Aperitivos,sernova-candy-glow,
Sernova Caribbean Blend X700,8600.00,Aperitivos,sernova-caribbean-blend-x700,
Sernova Sweet Apple 700ml,8600.00,Aperitivos,sernova-sweet-apple-700ml,
Sernova Tropical Passion 700ml,8600.00,Aperitivos,sernova-tropical-passion-700ml,
Sernova Wild Berries 700ml,8600.00,Aperitivos,sernova-wild-berries-700ml,
Serranas Sandwich Tripack 3 X 112g,1800.00,Snacks,serranas-sandwich-tripack-3-x-112g,
Seven 2Ls,2500.00,Gaseosas,seven-2ls,
Seven Lata,1300.00,Gaseosas,seven-lata,
Seven Up 1.5l,3200.05,Gaseosas,seven-up-15l,
Sidra 1930 Dolce,6000.00,Vinos Espumantes,sidra-1930-dolce,
Sidra La Farruca 710ml,2800.00,Vinos Espumantes,sidra-la-farruca-710ml,
Skyy Apericot 750ml,11500.00,Aperitivos,skyy-apericot-750ml,
Skyy Cosmic 750ml,12000.00,Aperitivos,skyy-cosmic-750ml,
Skyy Pineapple,11500.00,Aperitivos,skyy-pineapple,
Skyy Raspberry 750ml,11500.00,Aperitivos,skyy-raspberry-750ml,
Smirnoff Citric,10500.00,Vodka,smirnoff-citric,
Smirnoff Citrus,10500.00,Vodka,smirnoff-citrus,https://cdn.jsdelivr.net/gh/USER/toma-images/images/smirnoff-citrus.jpg
Smirnoff Green Apple,10500.00,Vodka,smirnoff-green-apple,https://cdn.jsdelivr.net/gh/USER/toma-images/images/smirnoff-green-apple.jpg
Smirnoff Ice Apple Lata,3600.00,Vodka,smirnoff-ice-apple-lata,
Smirnoff Ice Berry Lata,3600.00,Vodka,smirnoff-ice-berry-lata,
Smirnoff Raspberry,10500.00,Vodka,smirnoff-raspberry,https://cdn.jsdelivr.net/gh/USER/toma-images/images/smirnoff-raspberry.jpg
Smirnoff Tamarindo,10500.00,Vodka,smirnoff-tamarindo,
Smirnoff Tropical Fruits,10500.00,Vodka,smirnoff-tropical-fruits,https://cdn.jsdelivr.net/gh/USER/toma-images/images/smirnoff-tropical-fruits.jpg
Smirnoff Watermelon,10500.00,Vodka,smirnoff-watermelon,https://cdn.jsdelivr.net/gh/USER/toma-images/images/smirnoff-watermelon.jpg
Smoking Filro Menthol,3500.00,Sin identificar,smoking-filro-menthol,
Snack Saladix Barbacoa X58g,1500.00,Sin identificar,snack-saladix-barbacoa-x58g,
Snack Saladix Barbacoa X95g,2000.00,Sin identificar,snack-saladix-barbacoa-x95g,
Snack Saladix Cheddar X58g,1500.00,Sin identificar,snack-saladix-cheddar-x58g,
Snack Saladix Cheddar X95g,2000.00,Sin identificar,snack-saladix-cheddar-x95g,
Soda 500ml,800.00,Aguas,soda-500ml,
Sonrisas Frambuesa X108g,1200.00,Sin identificar,sonrisas-frambuesa-x108g,
Speed 473ml,3000.00,Energizantes,speed-473ml,
Sprite 1.5l,4000.00,Gaseosas,sprite-15l,
Sprite 2.25l,4200.00,Gaseosas,sprite-225l,
Sprite 500ml,1500.00,Gaseosas,sprite-500ml,
Sprite Lata,1300.00,Gaseosas,sprite-lata,
Stella 473ml,3200.00,Cervezas,stella-473ml,
Stella Artois 330ml,3000.00,Cervezas,stella-artois-330ml,
Stella Artois 710ml,4200.00,Cervezas,stella-artois-710ml,
Stella Artois Noire,3000.00,Cervezas,stella-artois-noire,
Stella Artois Sin Alcohol Porron,2500.00,Cervezas,stella-artois-sin-alcohol-porron,
Surtido Bagley X 400g,2600.00,Sin identificar,surtido-bagley-x-400g,
Surtido Diversion X 400g,2300.00,Sin identificar,surtido-diversion-x-400g,
Tabaco Cerrito,5500.00,Sin identificar,tabaco-cerrito,
Tabaco Las Hojas,4800.00,Sin identificar,tabaco-las-hojas,
Tallarines Al Uso Nostro,3500.00,Sin identificar,tallarines-al-uso-nostro,
Tanqueray,32000.00,Gin,tanqueray,
Tarta De Acelga,8500.00,Sin identificar,tarta-de-acelga,
Tarta De Cebolla 1/2,8500.00,Sin identificar,tarta-de-cebolla-12,
Tarta De Choclo 1/2,8500.00,Sin identificar,tarta-de-choclo-12,
Tarta De Jamon Y Queso 1/2,8500.00,Sin identificar,tarta-de-jamon-y-queso-12,
Tarta De Pollo 1/2,9500.00,Sin identificar,tarta-de-pollo-12,
Terrazas Res Cabernet Sauv X750,16700.00,Vinos Tintos,terrazas-res-cabernet-sauv-x750,
Terrazas Res Malbec X750,14900.00,Vinos Tintos,terrazas-res-malbec-x750,
Tiramisu,5500.00,Sin identificar,tiramisu,
Tomate Perita Arcor X400g,1500.00,Sin identificar,tomate-perita-arcor-x400g,
Top Line 7 Strawberry 16 X 14g,1000.00,Golosinas,top-line-7-strawberry-16-x-14g,
Top Line 7 Ulra Beery 12 X 24g,2500.00,Golosinas,top-line-7-ulra-beery-12-x-24g,
Top Line 7 Ulra Citrus Blueberry 24g,2500.00,Golosinas,top-line-7-ulra-citrus-blueberry-24g,
Top Line 7 Ulra Clean 12 X 25g,2500.00,Golosinas,top-line-7-ulra-clean-12-x-25g,
Top Line 7 Violet Cherry 16 X 14g,1000.00,Golosinas,top-line-7-violet-cherry-16-x-14g,
Top Line Bubble Fun 16X14g,1000.00,Golosinas,top-line-bubble-fun-16x14g,
Top Line Defense 20 X 6.7g,700.00,Golosinas,top-line-defense-20-x-67g,
Top Line Fruta 20 X 6.7g,700.00,Golosinas,top-line-fruta-20-x-67g,
Top Line Menta 16 X 14g,1000.00,Golosinas,top-line-menta-16-x-14g,
Top Line Menta 20 X 6.7g,700.00,Golosinas,top-line-menta-20-x-67g,
Top Line Menthol 16 X 14g,1000.00,Golosinas,top-line-menthol-16-x-14g,
Top Line Sandia 16 X 14g,1000.00,Golosinas,top-line-sandia-16-x-14g,
Top Line Sandia/Menta X20 U,700.00,Golosinas,top-line-sandiamenta-x20-u,
Top Line Strong 16 X 29g,1000.00,Sin identificar,top-line-strong-16-x-29g,
Top Line Strong 20 X 6.7g,700.00,Golosinas,top-line-strong-20-x-67g,
Top Line Ulra Gmint 12 X 24g,2500.00,Golosinas,top-line-ulra-gmint-12-x-24g,
Toro Tetra 1l,2500.00,Vinos Tintos,toro-tetra-1l,
Tostadas Criollitas Clasicas X195g,1800.00,Sin identificar,tostadas-criollitas-clasicas-x195g,
Tostadas Criollitas Salvado X195g,1800.00,Sin identificar,tostadas-criollitas-salvado-x195g,
Traviata Tripack X324g,1800.00,Sin identificar,traviata-tripack-x324g,
Tribu Blanco Dulce 750ml,4000.00,Vinos Blancos,tribu-blanco-dulce-750ml,
Trivento Reserva Malbec X750,7200.00,Vinos Tintos,trivento-reserva-malbec-x750,
Trumpeter Cabernet Sauvignon X750,9500.00,Vinos Tintos,trumpeter-cabernet-sauvignon-x750,
Trumpeter Malbec X750,9700.00,Vinos Tintos,trumpeter-malbec-x750,
Twistos Jamon X40g,2000.00,Sin identificar,twistos-jamon-x40g,
Twistos Jamon X95g,2900.00,Snacks,twistos-jamon-x95g,
Twistos Queso X40g,2000.00,Snacks,twistos-queso-x40g,
Twistos Queso X95g,2900.00,Snacks,twistos-queso-x95g,
Van Kiff American Blend,6500.00,Sin identificar,van-kiff-american-blend,
Van Kiff Cherry,6500.00,Sin identificar,van-kiff-cherry,
Van Kiff Chocolate,6500.00,Golosinas,van-kiff-chocolate,
Van Kiff Natural,6500.00,Sin identificar,van-kiff-natural,
Van Kiff Vainilla,6500.00,Sin identificar,van-kiff-vainilla,
Vaper Ignite V250,27500.00,Sin identificar,vaper-ignite-v250,
Vapper Sex Addict,26500.00,Sin identificar,vapper-sex-addict,
Vermut Punt E Mes 750ml,8300.00,Aperitivos,vermut-punt-e-mes-750ml,
Vino Toro Tetra Blanco,2200.00,Vinos Blancos,vino-toro-tetra-blanco,
Vino Viña Balbo,3200.00,Aperitivos,vino-vina-balbo,
Vodka Sernova,7800.00,Vodka,vodka-sernova,
Wagyu Reserva,13200.00,Vinos Tintos,wagyu-reserva,
White Horse,21899.00,Aperitivos,white-horse,https://cdn.jsdelivr.net/gh/USER/toma-images/images/white-horse.jpg
Yerba Rosamonte X500g,2200.00,Sin identificar,yerba-rosamonte-x500g,
Ñoquis Al Uso Nostro,4100.00,Sin identificar,noquis-al-uso-nostro,
